"761","Protezione dell’aria e del clima"
"769","Altri tipi di lotta contro l’inquinamento ambientale"
"77","Altri tipi di protezione dell’ambiente"
"771","Cimitero e sepoltura"
"779","Protezione dell’ambiente, n. m. a."
"78","R&S protezione dell’ambiente "
"781","R&S ambiente"
"782","R&S assetto del territorio"
"79","Assetto del territorio"
"790","Assetto del territorio"
"8","Economia nazionale"
"81","Agricoltura"
"811","Amministrazione, esecuzione e controllo"
"812","Miglioramenti strutturali"
"813","Miglioramenti della produzione animale"
"814","Miglioramenti della produzione vegetale"
"815","Misure economiche"
"816","Pagamenti diretti"
"817","Misure sociali"
"818","Economia alpestre"
"82","Silvicoltura"
"820","Silvicoltura"
"83","Caccia e pesca"
"830","Caccia e pesca"
"84","Turismo"
"840","Turismo"
"85","Industria, artigianato e commercio"
"850","Industria, artigianato e commercio"
"86","Banche e assicurazioni"
"860","Banche e assicurazioni"
"87","Combustibili ed energia"
"871","Elettricità"
"872","Petrolio e gas"
"873","Energia non elettrica"
"879","Energia, n. m. a."
"88","R&S economia nazionale"
"881","R&S agricoltura"
"882","R&S silvicoltura, caccia e pesca"
"883","R&S combustibili ed energia"
"884","R&S in altre attività di economia nazionale"
"89","Altre aziende artigianali"
"890","Altre aziende artigianali"
"9","Finanze e imposte"
"91","Imposte"
"910","Imposte"
"92","Convenzioni fiscali"
"920","Convenzioni fiscali"
"93","Perequazione finanziaria e compensazione degli oneri"
"930","Perequazione finanziaria e compensazione degli oneri"
"94","Partecipazioni a entrate della Confederazione"
"940","Partecipazioni a entrate della Confederazione senza destinazione vincolata"
"95","Partecipazioni, altro"
"950","Partecipazioni, altro, senza destinazione vincolata"
"96","Gestione del patrimonio e del debito"
"961","Interessi"
"962","Costi di emissione"
"963","Immobili dei beni patrimoniali"
"969","Beni patrimoniali, n. m. a."
"97","Ridistribuzioni"
"971","Ridistribuzioni tassa sul CO2"
"99","Voci non ripartite"
"990","Voci non ripartite"
"995","Spese e ricavi neutri"
"999","Chiusura"
