id,municipality,2012_factor,2012_index,2013_factor,2013_index,2014_factor,2014_index,2015_factor,2015_index,2016_factor,2016_index,2017_factor,2017_index
75,Agarn,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
76,Albinen,1.30,120%,1.30,130%,1.30,130%,1.30,130%,1.30,140%,1.30,140%
78,Ergisch,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
79,Erschmatt,1.30,140%,,,,,,,,,,
81,Gampel-Bratsch (01.01.2009),1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%
82,Guttet-Feschel (01.10.2000),1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
83,Inden,1.30,130%,1.30,130%,1.30,130%,1.30,130%,1.10,130%,1.10,130%
84,"Leuk (Erschmatt, Leuk / 1.1.2013)",1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
85,Leukerbad,1.50,145%,1.50,145%,1.50,145%,1.50,145%,1.50,145%,1.50,145%
86,Oberems,1.20,160%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
87,Salgesch,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.20,130%
88,Turtmann - Unterems (1.1.2013),1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
89,Unterems,1.30,155%,,,,,,,,,,
90,Varen,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
92,Chalais,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
94,Chermignon,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%,,
95,Chippis,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
98,Grône,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%
99,Icogne,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%
100,Lens,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.15,170%,1.15,170%
101,Miège,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%
102,Mollens,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,,
103,Montana,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,,
104,"Crans-Montana (Chermignon, Montana, Randogne Mollens / 01.01.2017)",1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,170%
104,Randogne,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,170%
106,St-Léonard,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
108,Sierre,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%
109,Venthône,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%
110,Veyras,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
111,Anniviers (Ayer-Chandolin-Grimentz-St-Jean-St-Luc-Vissoie / 1.1.2009),1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
112,Agettes,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%,,
113,Ayent,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%
114,Evolène,1.30,125%,1.30,125%,1.30,125%,1.30,125%,1.30,125%,1.30,125%
115,Hérémence,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
117,Mont-Noble (Nax - Mase - Vernamiège / 1.1.2011),1.35,140%,1.35,140%,1.35,140%,1.35,140%,1.35,140%,1.35,140%
118,St-Martin,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%
120,Vex,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%
121,Arbaz,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
122,Grimisuat,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
123,Salins,1.40,120%,,,,,,,,,,
124,Savièse,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%
125,"Sion (Salins, Sion / 1.1.2013 - Agettes / 01.01.2017)",1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
126,Veysonnaz,1.20,110%,1.20,110%,1.20,110%,1.20,110%,1.20,110%,1.20,110%
127,Ardon,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%
128,Chamoson,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%
129,Conthey,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
130,Nendaz,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
